"CAS","odor_goodscents"
"13679-46-4","roasted coffee"
"1438-91-1","onion garlic sulfury pungent vegetable horseradish, onion garlic, sulfuraceous, with a pungent vegetable horseradish nuance"
"10032-15-2","green waxy fruity apple spicy tropical"
"1883-78-9","coffee savory meaty floral"
"77-94-1","herbal plastic"
"13678-68-7","sulfury burnt roasted nutty coffee, suifureous, roasted, savory, alliaceous, vegetative and coffee-like"
"27178-16-1","plastic dry clean"
"59020-85-8","sulfurous coffee onion garlic savory, sulfureous, coffee-like, onion and garlic, with a sauteed savory nuance"
"141-13-9","fresh aldehydic floral waxy watery"
"13254-34-7","fresh dihydrolinalool floral woody citrus herbal"
"37514-30-0","woody celery musk ambergris old wood"
"70955-71-4","sandalwood clean sweet woody cashew creamy"
"623-30-3","green grassy fruity spicy vanilla nutty woody cinnamon"
"623-15-4","sweet spicy warm balsam cinnamon vanilla, sweet, balsamic, nutty, creamy, coumarin and vanilla-like with a powdery anisic nuance"
"6975-60-6","caramellic fruity spicy radish"
"8013-75-0","sweet alcoholic woody fruity, sweet, alcoholic, woody, with an etherial brown fruity nuance"
"103-07-1","deep rose green narcissus leafy sweet balsamic floral"
"123-96-6","fresh spicy green woody herbal earthy"
"36399-15-2","musk ketone animal soapy"
"82356-51-2","musk ketone animal soapy"
"63314-79-4","musk ketone animal soapy"
"10032-00-5","sweet fruity winey fermented apple skin"
"67874-69-5","neroli rose geranium honeysuckle genista, floral"
"94-48-4","sweet amber ylang rose"
"51532-26-4","herbal rose fruity cognac"
"40267-72-9","diffusive ethereal fruity green"
"2565-82-4","rose sweet"
"68039-29-2","bourbon geranium"
"7785-33-3","geranium fruity sweet herbal"
"10402-47-8","rose fruity pineapple"
"109-20-6","green fruity apple blueberry pineapple, sweet, fruity and green with oily herbaceous, fruity and melon nuances"
"51371-47-2","floral rose"
"34131-98-1","gardenia green grapefruit rhubarb vetiver woody"
"56-86-0","mild yeast baked bread"
"60-01-5","cheese waxy creamy fatty, cheese, waxy, fatty, acidic"
"614-33-5","plastic benzophenone balsamic clean green"
"116-66-5","sweet musk ambrette ketone powdery dry"
"139-45-7","oily fatty fruity chemical, oily with a slight chemical nuance"
"31375-17-4","cortex leafy green woody herbal phenolic floral"
"10031-90-0","sweet fruity pineapple balsam, sweet, fruity, pineapple, ripe, acrylate rumy note, horseradish and slightly cooked jammy nuance"
"67801-47-2","fresh sweet lemon orangeflower fruity"
"613-70-7","sweet woody spice dry clove powdery smoky, phenolic, guaiacol, smoky and ham-like with a woody, vanilla nuance"
"91-50-9","fresh lily of the valley neroli orange flower"
"67785-76-6","hyacinth green foliage floral mandarin sweet pea"
"502-72-7","powdery musk animal natural greasy"
"106-29-6","sweet fruity rose waxy raspberry tropical, sweet, fresh fruity, waxy, raspberry, peach, apricot, tropical notes with a green nuance"
"73003-91-5","rose plum animal balsamic woody"
"68083-57-8","bitter orange mandarin coriander"
"541-91-3","sweet musk animal powdery fatty natural, sweet fragrant perfume, musky with floral and soapy shaving cream like nuances."
"489-40-7","wood balsam"
"4313-03-5","fatty green oily aldehydic vegetable cake cinnamon, fatty, green, oily, aldehydic with a vegetative nuance"
"33467-79-7","green fruity nutty cheese"
"96-04-8","butter cheese oily fresh yogurt"
"3720-16-9","fresh celery green cumin"
"543-49-7","fresh lemon grass herbal sweet floral fruity green"
"996-97-4","spice sweet mint fresh tobacco woody fruity cigar box"
"589-82-2","powerful herbal"
"106-35-4","powerful green fatty fruity, fruity ketonic, sweet with a musty cheese-like note"
"24295-03-2","nutty popcorn roasted peanuts hazelnut, toasted corn chip, popcorn with a raw nutty and bready nuance"
"123-19-3","fruity cheese sweet cognac pineapple, diffusive, fruity, cheesy, sweet, tutti-frutti, cognac and pineapple nuances"
"6698-82-0","similar to the acetate but more fruity"
"18492-65-4","green oily cucumber seed waxy fatty creamy dry salt fishy, green fruity, waxy, plant and vegetable like with an apple and herbal nuance"
"33467-76-4","pungent fatty plastic green"
"4643-25-8","ethereal"
"14735-72-9","sweet hawthorn mimosa sweet powdery"
"16939-73-4","sweet waxy tropical kiwi pineapple"
"94386-48-8","sweet cinnamon cypress"
"67874-67-3","fresh fatty waxy sweet dry orange blossom"
"7155-12-6","damp green freshly bruised sage leaves metallic"
"5870-93-9","fruity tropical chamomile green tea sweet floral clean"
"37837-44-8","sweet benzaldehyde cherry fruity floral"
"67634-12-2","fresh lily floral sweet orangeblossom"
"6976-72-3","damp green sappy freshly bruised mallow or dock leaves"
"10032-08-3","green fleafy hyacinth"
"40923-64-6","creamy lactonic green waxy gooseberry plum kiwi peach citrus fruity, creamy, lactonic, green, waxy with a citrus fruity nuance"
"93894-30-5","fresh green clean citrus fruity hyacinth"
"4359-57-3","fresh citrus orange aldehydic fatty"
"624-09-9","grassy green"
"71605-85-1","winey sweet oily floral orangeflower rose"
"39736-25-9","strong lemongrass sweet verbena foliage"
"2216-81-1","rose apricot"
"5451-80-9","fruity"
"1192-62-7","sweet balsam almond cocoa caramel coffee, sweet, almondy, nutty, brown and toasted with a milky, lactonic undernote"
"36653-82-4","waxy clean greasy floral oily"
"142-83-6","sweet green spicy floral citrus, green, fruity, aldehydic, citrus and waxy"
"1516-17-2","fresh green oily herbal pumpkin fresh parsley"
"3558-60-9","green floral chrysanthemum jasmin metallic rose"
"16930-93-1","fruity green wine cheese dairy"
"28645-51-4","sweet musk ambrette fruity waxy fatty"
"16491-24-0","green fruity galbanum apple pear pineapple"
"65113-99-7","sweet sandalwood woody waxy greasy creamy amyris"
"25496-72-4","bland fatty waxy"
"111-03-5","bland fatty waxy"
"16491-25-1","sweet fruity tropical pineapple wine"
"68259-33-6","woody clean spicy balsam"
"700-82-3","coconut tonka"
"1604-34-8","dry musty"
"1922-67-4","musk"
"6493-80-7","tagette chrysanthemum thujone natural sweet herbal"
"823-22-3","creamy fruity coconut"
"91-62-3","leather tonka castoreum tobacco civet fecal"
"3658-93-3","cognac pear floral hyacinth apple fruity"
"104-62-1","rose green hyacinth watercress herbal"
"1599-47-9","green sweet dry musty"
"4437-51-8","buttery toasted almond nutty caramellic"
"32388-55-9","woody vetiver amber leather musk cedar"
"623-37-0","alcoholic medicinal ethereal, fusel, green, solventy alcoholic, with nuances of tropical fruits, pineapple, apple and cider and rum"
"32803-39-7","floral aldehydic powdery citrus fruity animal waxy sweet"
"6876-13-7","fresh pine balsam herbal"
"73545-18-3","natural apple juice"
"67746-30-9","green pepper dry rooty fatty spicy celery caraway"
"18318-83-7","fruity apple"
"13419-69-7","powerful fruity sweet warm herbal"
"2497-21-4","pungent ethereal spicy green tropical metallic, pungent, acrid, metallic and etherial"
"4798-44-1","ethereal green rum"
"928-94-9","green cortex leafy green bean nasturtium herbal soapy aldehydic narcissus phenolic, impacting fresh vegetative, slightly fatty with a green bean note, witch hazel and fusel alcoholic with a whiskey nuance"
"5182-36-5","fresh citrus gardenia green natural"
"35926-04-6","green fruity rum"
"65405-76-7","sweet green fruity concord grape jasmin orangeflower, deep sweet ripe fruity, concord grape skin with a jasmine and lilac floral note and a naphthyl-like nuance"
"53398-83-7","green fruity apricot ripe banana cortex orchid fermented, green, ripe fruity with apple and fermented banana notes and a fatty nuance, becoming green grassy on dryout"
"68133-75-5","fresh balsam green"
"53398-78-0","fruity green rum"
"68698-58-8","green violet"
"111-12-6","green leafy waxy violet cucumber, green, vegetative, fruity, fatty, waxy, cucumber, melon and violet leaf-like with floral nuances"
"123-94-4","mild fatty waxy"
"53956-04-0","bland"
"53398-86-0","green natural cognac herbal waxy clean"
"61444-38-0","green tomato leaf pear melon metallic fennel tropical"
"68133-78-8","green mossy rum honey"
"134-96-3","mild plastic woody tonka sweet"
"112-44-7","waxy soapy floral aldehydic citrus green fatty fresh laundry, intensely soapy, aldehydic waxy and slightly effervescent orange citrus-like with a watermelon, pineapple and cilantro background"
"53398-80-4","green fruity apple pear banana unripe banana tropical pulpy rhubarb, green, fruity apple and pear pulp with creamy and powdery nuances"
"33467-74-2","green pear apple fresh fruity waxy leafy, green, fruity, apple and pear with a sweet, leafy nuance"
"68133-77-7","green woody floral"
"56922-74-8","green fruity apple banana pineapple cognac, green, estry, fruity, apple, green banana and pineapple with slight cognac and winey nuances"
"35852-46-1","green fruity apple pear kiwi unripe banana tropical, heavy green with an estry fresh fruity nuance of apple, pear, grape, banana and kiwi"
"68698-59-9","green waxy apple pear banana grape, green, fresh waxy apple, pear and banana-like with nuances of viney fusel grape and vegetables"
"10039-39-1","sweet floral fruity"
"19089-92-0","sweet caramel green walnut oily radish, sweet, fruity green with apple and pear characters. it has vegetative nuances of celery and radish. a slight tropical note of pineapple"
"3488-00-4","cypress cuminic acetate fruity balsam"
"29896-45-5","fresh green fatty foliage woody"
"1119-06-8","dank foliage mallow leaves green"
"7289-40-9","wild hyacinth foliage green"
"10032-13-0","sweet green fruity apple unripe fruit apple skin strawberry, sweet green fruity apple pear tropical apple skin waxy, sweet, fruity, green, apple-like with fresh juicy skin notes"
"10519-12-7","sandalwood woody dry oily floral"
"66912-24-1","floral herbal fatty irone"
"67634-07-5","fresh green leafy clean herbal chrysanthemum"
"6561-39-3","brandy green vegetable fruity"
"151-10-0","acid fruity nutmeg neroli, sweet, cooling, medicinal, root beer-like"
"5421-17-0","sweet green waxy fruity rose wine foliage, sweet, green, waxy, floral and fruity with a slight powdery, honey nuance"
"102-76-1","mild clean tropical fruity, clean, creamy and slightly acidic"
"23811-08-7","spicy peppery woody"
"6753-98-6","woody"
"551-08-6","herbal lovage celery, celery, green, vegetable, lovage-like with a herbal note"
"10402-52-5","sweet hyacinth lilac green earthy"
"499-75-2","spice woody camphor thymol, spicy, cooling, thymol-like, herbal and camphoreous with smoky nuances"
"26266-77-3","mild woody"
"1333-89-7","mild woody"
"39252-03-4","sweet waxy metallic fruity peach, sweet, waxy, metallic, slightly fruity with bready and caramellic nuances"
"622-62-8","mild hawthorn phenolic plastic nutty"
"150-76-5","phenolic"
"3687-48-7","fresh fungal fruity genuine mushroom earthy violet melon humus"
"5077-67-8","sweet coffee musty grain malt butterscotch, sweet, brown, coffee, musty, grain- and pyrazine-like with malt and butterscotch nuances"
"7779-94-4","delicate green floral lily muguet"
"78649-62-4","jasmone green fungus"
"67923-85-7","fresh sweet woody hydroxycitronellal milky"
"25485-88-5","floral balsam sweet green"
"67801-64-3","spice woody floral grocery store"
"3583-00-4","fresh green herbal camphor woody"
"499-54-7","maple syrup brown sugar"
"404-86-4","mild warm herbal"
"1577-18-0","powerful fruity honey acid, cheesy, green, dairy-like with a waxy fruity nuance"
"589-66-2","fruity dry tropical rummy ripe green pear (caramellic is the long drydown), woody, fruity, brown, ripe and alcoholic-like with cognac and rum nuances"
"19009-56-4","powerful fresh dry citrus waxy watery"
"53053-51-3","sulfury cabbage fruity pineapple cheese"
"30897-75-7","woody pine linseed"
"7367-81-9","hairy costus sweet fruity pear oily waxy violet, fresh green, fruity, sweet, melon with a violet leaf-like nuance"
"84434-18-4","fresh woody citrus oily natural cedar grapefruit"
"10599-70-9","sweet musty nutty earthy cocoa corn leather, musty, nutmeat, powdery, slight roasted"
"1193-79-9","strong musty nutty hay coconut coumarin milky, sweet, musty, nutty with a caramellic nuance"
"59191-78-5","musty herbal sweet earthy"
"7493-69-8","nut fruit peach-pit cherry-pit ethereal"
"496-77-5","sweet pungent buttery nut"
"6728-31-0","oily fatty green dairy milky creamy"
"68084-03-7","fermented coffee yeast dark rye bread"
"36431-72-8","tea herbal green wet tobacco leaf metallic woody spicy, woody, cooling, minty and camphoreous, with a fresh green herbal nuance"
"673-22-3","vanillin like"
"4455-13-4","sulfurous green fruity tropical"
"76649-26-8","sweet waxy fresh green melon fruity pear cucumber melon"
"589-98-0","earthy mushroom herbal melon citrus woody spicy minty, earthy, mushroom, dairy, musty, creamy, waxy with a slight fermented green minty nuance"
"18829-56-6","fatty green cucumber aldehydic citrus, green, cucumber, aldehydic, fatty with a citrus nuance"
"37172-53-5","green jasmin floral fresh oily herbal"
"26446-31-1","fresh peach coconut oily"
"616-25-1","ethereal horseradish green radish chrysanthemum vegetable tropical fruity, pungent, horseradish-like, green vegetable and tropical fruity nuances"
"26446-32-2","fresh peach fruity coconut oily"
"4312-99-6","herbal mushroom earthy musty dirty, intense earthy, metallic, mushroom-like with vegetative nuances of cabbage and broccoli. it has minor savory notes of fish and chicken"
"3581-91-7","roasted nutty fishy green boiled shrimp, fishy, amine and pyridine-like with shrimp and savory nuances"
"31499-72-6","woody floral berry orris powdery violet raspberry fruity, woody, floral, berry, fruity with orris powdery undernotes"
"14309-57-0","fruity berry fatty oily ketonic weedy spicy licorice"
"80-57-9","camphor menthol celery"
"50306-18-8","green marine mushroom"
"25152-84-5","oily cucumber melon citrus pumpkin nut meat, fatty, chicken, fried, citrus, chicken fat, coriander and brothy"
"93-60-7","warm herbal tobacco"
"6378-65-0","herbal fresh cut grass vegetable fruity, green, sweet, waxy, fruity with tropical and berry notes"
"78-83-1","ethereal winey cortex"
"18829-55-5","pungent green vegetable fresh fatty, intense green, fatty, oily, with fruity overtones"
"6191-71-5","fresh oily fatty creamy vegetable dairy green grassy"
"80118-06-5","natural fruity floral herbal chamomile"
"105657-89-4","shrimp"
"41816-03-9","fresh woody spicy floral fruity rhubarb zesty"
"31704-80-0","green vegetable fruity fatty watermelon cucumber cyclamen floral, green, vegetable, fruity with fatty nuances"
"99-72-9","floral green sweet woody herbal powdery, floral, green, sweet, with woody herbal powdery nuances"
"7493-74-5","sweet fresh honey pineapple chamomile cocoa"
"10486-14-3","floral red rose honey waxy powdery geranium, floral, honey, sweet powdery, with green nuances"
"65405-70-1","fresh aldehydic citrus orange mandarin tangerine green fatty"
"2217-33-6","fruity green sweet musty tropical apricot pineapple, creamy, fruity green, with sweet musty tropical nuances"
"109-43-3","faint fruity oily"
"1072-83-9","musty nut skin maraschino cherry coumarinic licorice walnut bready, musty, nutty-like with a coumarin nuance"
